Compound_CID,Molecular_Weight,Molecular_Formula,SMILES,IUPAC_Name,Linked_PubChem_Literature_Count,Linked_PubChem_Patent_Count,Modified_Formula,Matched_Y_CID,Filtered_SMILES_X,Y_Trimmed_Candidates,Matched_Y_Trimmed,Match_Found
129849767,212.16,C9H8O6,C1=CC(=C(C=C1/C(=C(/C(=O)O)\O)/O)O)O,"(E)-3-(3,4-dihydroxyphenyl)-2,3-dihydroxyprop-2-enoic acid",5,9,C10H10O6,,CCCCCCCCCOOOOOO,,,False
129849517,256.3,C16H16O3,CC(C)(C1=CC=CC=C1)C(=O)C2=CC(=C(C=C2)O)O,"1-(3,4-dihydroxyphenyl)-2-methyl-2-phenylpropan-1-one",1,0,C17H18O3,,CCCCCCCCCCOCCCCCCOO,,,False
129848203,328.31,C15H20O8,C1=CC(=C(C=C1/C=C/COC2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,"(3R,4S,5S,6R)-2-[(E)-3-(3,4-dihydroxyphenyl)prop-2-enoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",1,0,C16H22O8,,CCCCCCCCCOCCCCCOCOOOOOO,,,False
129848202,328.31,C15H20O8,C1=CC(=C(C=C1/C=C/COC[C@@H]2[C@H]([C@@H]([C@H](C(O2)O)O)O)O)O)O,"(3R,4S,5S,6R)-6-[[(E)-3-(3,4-dihydroxyphenyl)prop-2-enoxy]methyl]oxane-2,3,4,5-tetrol",1,0,C16H22O8,,CCCCCCCCCOCCCCCCOOOOOOO,,,False
129848195,328.31,C15H20O8,C1=CC(=C(C=C1/C=C/CO[C@H]2[C@@H]([C@H](OC([C@@H]2O)O)CO)O)O)O,"(3R,4S,5R,6R)-4-[(E)-3-(3,4-dihydroxyphenyl)prop-2-enoxy]-6-(hydroxymethyl)oxane-2,3,5-triol",1,0,C16H22O8,,CCCCCCCCCOCCCOCCOOCOOOO,,,False
129847741,329.32,C15H20O8,[2H]/C(=C\COC1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)/C2=CC(=C(C=C2)O)O,"(3R,4S,5S,6R)-2-[(E)-3-deuterio-3-(3,4-dihydroxyphenyl)prop-2-enoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",1,0,C16H22O8,,CCCOCCCCCOCOOOOCCCCCCOO,,,False
129844398,677.6,C29H36O18,[2H]CC(=O)OC[C@@H]1[C@H]([C@@H]([C@H](C(O1)OC2([C@H]([C@@H]([C@H](O2)CO)O)OC(=O)/C=C(\[2H])/C3=CC(=C(C=C3)O)O)CO)OC(=O)C[2H])OC(=O)C[2H])OC(=O)C[2H],"[(3S,4R,5R)-4-hydroxy-2,5-bis(hydroxymethyl)-2-[(3R,4S,5R,6R)-3,4,5-tris[(2-deuterioacetyl)oxy]-6-[(2-deuterioacetyl)oxymethyl]oxan-2-yl]oxyoxolan-3-yl] (E)-3-deuterio-3-(3,4-dihydroxyphenyl)prop-2-enoate",1,0,C30H38O18,,CCOOCCCCCCOOCCCCOCOOOCOCCCCCCCCOOCOOCOCOCOCOCOC,,,False
129844362,765.7,C35H40O19,[2H]/C(=C\C(=O)O[C@@H]1[C@H](OC([C@@H]([C@H]1O[C@H]2[C@@H]([C@@H]([C@H]([C@@H](O2)C)OC(=O)C)OC(=O)C)OC(=O)C)O)OCC(=O)C3=CC(=C(C=C3)O)O)CO)/C4=CC(=C(C=C4)O)O,"[(2R,3R,4R,5R)-6-[2-(3,4-dihydroxyphenyl)-2-oxoethoxy]-5-hydroxy-2-(hydroxymethyl)-4-[(2S,3R,4R,5S,6S)-3,4,5-triacetyloxy-6-methyloxan-2-yl]oxyoxan-3-yl] (E)-3-deuterio-3-(3,4-dihydroxyphenyl)prop-2-enoate",1,0,C36H42O19,,CCCOOCCOCCCOCCCCCOCOCOCOCOCOCOCOOCCOCCCCCCOOCOCCCCCCOO,,,False
129835791,310.26,C14H14O8,C1=CC(=C(C=C1C(=O)C(=O)C2=CC(=C(C=C2)O)O)O)O.O.O,"1,2-bis(3,4-dihydroxyphenyl)ethane-1,2-dione;dihydrate",1,0,C15H16O8,,CCCCCCCOCOCCCCCCOOOOOO,,,False
129830080,418.6,C26H42O4,CCCCCCCCCCCCCCCCC/C(=C\C1=CC(=C(C=C1)O)O)/C(=O)O,"(2E)-2-[(3,4-dihydroxyphenyl)methylidene]nonadecanoic acid",2,0,C27H44O4,,CCCCCCCCCCCCCCCCCCCCCCCCCOOCOO,,,False
129826248,564.5,C30H28O11,COC(=O)C(CC1=CC=C(C=C1)OCCCOC2=C(OC3=CC=CC(=C3C2=O)O)C4=CC(=C(C=C4)O)O)C(=O)OC,"dimethyl 2-[[4-[3-[2-(3,4-dihydroxyphenyl)-5-hydroxy-4-oxochromen-3-yl]oxypropoxy]phenyl]methyl]propanedioate",1,0,C31H30O11,,COCOCCCCCCCCOCCCOCCOCCCCCCCOOCCCCCCOOCOOC,,,False
