Compound_CID,Molecular_Weight,Molecular_Formula,SMILES,IUPAC_Name,Linked_PubChem_Literature_Count,Linked_PubChem_Patent_Count,Modified_Formula,Matched_Y_CID,Filtered_SMILES_X,Matched_Y_SMILES_Count,Matched_Y_CIDs
115401203,260.399,C17H24O2,CC1(C2CCC(C2)(C1(CC3=CC=C(C=C3)O)O)C)C,"2-[(4-hydroxyphenyl)methyl]-1,3,3-trimethylbicyclo[2.2.1]heptan-2-ol",0,0,C17H24O3,6440354.0,CCCCCCCCCCCCCCCOOCC,1,132937711
110175379,304.4,C21H20O2,CC1=CC(=C(C=C1)C)C(C2=CC=C(C=C2)O)C3=CC=C(C=C3)O,"4-[(2,5-dimethylphenyl)-(4-hydroxyphenyl)methyl]phenol",0,0,C21H20O3,290973.0,CCCCCCCCCCCCCCCOCCCCCCO,2,144294303;118352699
105439996,182.22,C10H14O3,CC(CC1=CC=C(C=C1)O)(CO)O,"3-(4-hydroxyphenyl)-2-methylpropane-1,2-diol",0,0,C10H14O4,3516.0,CCCCCCCCCOCOO,19,166067872;165974392;165974015;165970659;26436291;26436289;26436290;144057332;129360539;121404578;102004633;87139554;71317163;59348048;53320292;45359662;26436287;14524462;12181413
102374639,264.3,C18H16O2,C1=CC(C=C1)C(C2=CC=C(C=C2)O)C3=CC=C(C=C3)O,"4-[cyclopenta-2,4-dien-1-yl-(4-hydroxyphenyl)methyl]phenol",0,0,C18H16O3,20058624.0,CCCCCCCCCCCCOCCCCCCO,2,117703353;68488733
102374638,264.3,C18H16O2,C1=CC(C=C1)C(C2=CC=C(C=C2)O)C3=CC(=CC=C3)O,"3-[cyclopenta-2,4-dien-1-yl-(4-hydroxyphenyl)methyl]phenol",0,0,C18H16O3,20058624.0,CCCCCCCCCCCCOCCCCCCO,2,117703353;68488733
102374637,264.3,C18H16O2,C1=CC=C(C(=C1)C(C2C=CC=C2)C3=CC=C(C=C3)O)O,"2-[cyclopenta-2,4-dien-1-yl-(4-hydroxyphenyl)methyl]phenol",0,0,C18H16O3,20058624.0,CCCCCCCCCCCCCCCCCCOO,4,172449359;70891965;68488733;20058624
102321408,422.5,C28H22O4,C1=CC(=CC=C1/C=C/C2=CC3=C(C=C2)OC(C3C4=CC=C(C=C4)O)C5=CC=C(C=C5)O)O,"4-[(E)-2-[2,3-bis(4-hydroxyphenyl)-2,3-dihydro-1-benzofuran-5-yl]ethenyl]phenol",1,0,C28H22O5,135059008.0,CCCCCCCCCCCCCCOCCCCCCCCOCCCCCCOO,1,135059008
102168518,304.4,C21H20O2,CC/C(=C(/C1C=CC=C1)\C2=CC=C(C=C2)O)/C3=CC=C(C=C3)O,"4-[(E)-1-cyclopenta-2,4-dien-1-yl-1-(4-hydroxyphenyl)but-1-en-2-yl]phenol",0,0,C21H20O3,290973.0,CCCCCCCCCCCCCCCOCCCCCCO,2,144294303;118352699
101925316,304.4,C21H20O2,CC(CC1=CC=C(C=C1)C2=CC=C(C=C2)O)C3=CC=C(C=C3)O,4-[4-[2-(4-hydroxyphenyl)propyl]phenyl]phenol,0,0,C21H20O3,290973.0,CCCCCCCCCCCCCCCOCCCCCCO,2,144294303;118352699
101787526,304.4,C21H20O2,CC(C)(C1=CC=C(C=C1)C2=CC(=CC=C2)O)C3=CC=C(C=C3)O,3-[4-[2-(4-hydroxyphenyl)propan-2-yl]phenyl]phenol,0,0,C21H20O3,290973.0,CCCCCCCCCCCCCCCOCCCCCCO,2,144294303;118352699
