Compound_CID,Molecular_Weight,Molecular_Formula,SMILES,IUPAC_Name,Linked_PubChem_Literature_Count,Linked_PubChem_Patent_Count,Modified_Formula,Matched_Y_CID
170988234,312.3,C18H16O5,CO[C@H]1C(=C(C(=O)O1)C2=CC=C(C=C2)O)CC3=CC=C(C=C3)O,(2R)-4-(4-hydroxyphenyl)-3-[(4-hydroxyphenyl)methyl]-2-methoxy-2H-furan-5-one,1,0,C18H16O6,131864767.0
169553319,340.32,C16H20O8,CO[C@H]1[C@@H]([C@H]([C@@H]([C@H]([C@H]1OC(=O)/C=C/C2=CC=C(C=C2)O)O)O)O)O,"[(1R,2R,3S,4S,5R,6S)-2,3,4,5-tetrahydroxy-6-methoxycyclohexyl] (E)-3-(4-hydroxyphenyl)prop-2-enoate",1,0,C16H20O9,168604.0
169543538,296.3,C18H16O4,C1C=CC=CC1(C=CC(=O)O)C(=O)/C=C/C2=CC=C(C=C2)O,"3-[1-[(E)-3-(4-hydroxyphenyl)prop-2-enoyl]cyclohexa-2,4-dien-1-yl]prop-2-enoic acid",2,0,C18H16O5,19049281.0
168477949,296.3,C18H16O4,COC1=C(C2=C(C=C1)C(=O)/C(=C/C3=CC=C(C=C3)O)/C2)OC,"(2E)-2-[(4-hydroxyphenyl)methylidene]-4,5-dimethoxy-3H-inden-1-one",1,0,C18H16O5,19049281.0
168477928,268.26,C16H12O4,COC1=CC=CC2=C1O/C(=C\C3=CC=C(C=C3)O)/C2=O,(2Z)-2-[(4-hydroxyphenyl)methylidene]-7-methoxy-1-benzofuran-3-one,1,0,C16H12O5,101139325.0
85107637,272.25,C15H12O5,C1=CC(=CC=C1C=CC2=C(C(=CC(=C2)O)O)C(=O)O)O,"2,4-dihydroxy-6-[2-(4-hydroxyphenyl)ethenyl]benzoic acid",1,0,C15H12O6,91184671.0
68819050,268.31,C17H16O3,CCC(=C(C1=CC=C(C=C1)O)C(=O)O)C2=CC=CC=C2,2-(4-hydroxyphenyl)-3-phenylpent-2-enoic acid,1,0,C17H16O4,16113498.0
168341475,350.4,C23H26O3,CC1=C(C=C(C=C1)O)C.CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,"3,4-dimethylphenol;4-[2-(4-hydroxyphenyl)propan-2-yl]phenol",1,0,C23H26O4,89999054.0
168340316,336.4,C21H20O4,CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O.C1=CC(=O)C=CC1=O,"cyclohexa-2,5-diene-1,4-dione;4-[2-(4-hydroxyphenyl)propan-2-yl]phenol",1,0,C21H20O5,22239525.0
168335070,252.26,C16H12O3,COC1=CC=C(C=C1)C2=C(C2=O)C3=CC=C(C=C3)O,2-(4-hydroxyphenyl)-3-(4-methoxyphenyl)cycloprop-2-en-1-one,1,0,C16H12O4,22624797.0
