Molecular_Formula,Trimmed_SMILES
C31H34O10,CCCCCCCCCOCCCOCOCCCCCCCCCOOCOCCCCCCOOCO
C17H20O5,CCCCCCCCCOCCCCCCOOCO
C27H28O12,CCCCCCCCCOOCCCCCCOCOCCCCCCCCOOCOCOOOO
C22H22O12,CCCCCCCCCOCCOCCCCOOCCCCCOCOOOOOO
C22H22O12,CCCCCCCCCOCCOCCCCOOCCCCCOCOOOOOO
C16H24O9,CCCCCCCCCOOCCCCCOCOOOOO
C16H24O9,CCCCCCCCCOOCCCCCOCOOOOO
C37H50O21,CCCCCCCCOCCCCCOCOOCOCCCCCCCCOOCOCCCCCOCOOOOOCCCCCOCOOOOO
C18H16O6,CCCCCCCCCCOCOCCCCCCOOO
C18H16O6,CCCCCCCCCCOCOCCCCCCOOO
C22H24O12,CCCCCCCCCOCCCCCCOOOOCCCCCOCOOOOO
C22H24O12,CCCCCCCCCOCCCCCCOOOOCCCCCOCOOOOO
C22H24O12,CCCCCCCCCOCCCCCCOOOOCCCCCOCOOOOO
C31H28O13,CCCCCCCCCOCCCCCCOOCCCCCOCOCOCCCCCCCCOOOOOO
C31H28O13,CCCCCCCCCOCCCCCCOOCCCCCOCOCOCCCCCCCCOOOOOO
C23H26O11,CCCCCCCCCOCCCCCCOCCCCCOCOOOOOCOO
C23H26O11,CCCCCCCCCOCCCCCCOCCCCCOCOOOOOCOO
C23H24O13,CCCCCCCCCOCCCCCCOOCCCCCOCOOOOOOOCO
C23H24O13,CCCCCCCCCOCCCCCCOOCCCCCOCOOOOOOOCO
C18H16O4,CCCCCCCCCCCCCCCCOCOO
C28H32O16,CCCCCCCCCOCCCCCCOOCCCCCOCOCCCCCOCOOOOOOOOO
C28H32O16,CCCCCCCCCOCCCCCCOOCCCCCOCOCCCCCOCOOOOOOOOO
C27H32O16,CCCCCCCCCOCCCCCCOOCCCCCOCOCCCCCOOOOOOOOOO
C27H32O16,CCCCCCCCCOCCCCCCOOCCCCCOCOCCCCCOOOOOOOOOO
C22H24O11,CCCCCCCCCOCCCCCCOCCCCCOCOOOOOOO
C22H24O11,CCCCCCCCCOCCCCCCOCCCCCOCOOOOOOO
C18H18O7,CCCCCCCCCOCCCCCCOOCOOCO
C20H24O6,CCCCCCCCCCCCCCCCOCOCOCOO
C37H38O20,CCCCCCCCCOOCCCCOCOCCCCOCOCCOCCCCCCCOOOCCCCCCOOCOOOCOOOO
C37H38O20,CCCCCCCCCOOCCCCOCOCCCCOCOCCOCCCCCCCOOOCCCCCCOOCOOOCOOOO
C31H28O14,CCCCCCCCCOOCCCCCCOOCCCCCCOCCCOCCCCCCOOOOOOO
C31H28O14,CCCCCCCCCOOCCCCCCOOCCCCCCOCCCOCCCCCCOOOOOOO
C22H22O12,CCCCCCCCCOCCOCCCCOOOCCCCCOCOOOOO
C16H18O5,CCCCCCCCOCCCCCCCOOO
C21H20O10,CCCCCCCCCOOCCOOCCCCCCCCOCOOOO
C34H34O8,CCCCCCCCCOCOCCCCCCCCCCCCCCOOCCOCOCCCCCCO
C34H34O8,CCCCCCCCCOCOCCCCCCCCCCCCCCOOCCOCOCCCCCCO
C22H22O11,CCCCCCCCCOCCOCCCCOCCCCCOCOOOOOO
C40H42O12,CCCCCCCCCOOCCCCCCCCCOOCCCCCCCCCOOCCOCOCCCCCCCCOOCO
C40H42O12,CCCCCCCCCOOCCCCCCCCCOOCCCCCCCCCOOCCOCOCCCCCCCCOOCO
C40H42O12,CCCCCCCCCOOCCCCCCCCCOOCCCCCCCCCOOCCOCOCCCCCCCCOOCO
C17H18O5,CCCCCCCCCOCCCCCCOOCO
C17H18O5,CCCCCCCCCOCCCCCCOOCO
C28H32O17,CCCCCCCCCOCCCCCCOOCCCCCOCOOOOCCCCCOCOOOOOOO
